Profondeur;Pousse;numero_feuille;longueur (mm);largueur (mm);indice A;epiphyte;surface (mm?)
3;1;1;14;7;X;NON;98
3;1;2;17;8;X;NON;136
3;1;3;300;9;X;OUI;2700
3;1;4;385;9;A;OUI;3465
3;1;5;390;10;A;OUI;3900
3;1;6;388;10;A;OUI;3880
3;1;7;246;10;A;OUI;2460
3;1;8;225;10;A;OUI;2250
3;1;9;148;10;A;OUI;1480
3;2;1;609;9;A;OUI;5481
3;2;2;278;8;X;OUI;2224
3;2;3;277;8;X;OUI;2216
3;2;4;544;8;X;OUI;4352
3;2;5;519;8;X;OUI;4152
3;2;6;535;9;A;OUI;4815
3;2;7;380;9;A;OUI;3420
3;2;8;314;9;A;OUI;2826
3;3;1;228;8;X;OUI;1824
3;3;2;425;8;X;OUI;3400
3;3;3;574;8;A;OUI;4592
3;3;4;661;9;A;OUI;5949
3;3;5;530;8;A;OUI;4240
3;3;6;305;8;A;OUI;2440
3;3;7;258;8;A;OUI;2064
3;4;1;401;9;X;NON;3609
3;4;2;623;9;X;OUI;5607
3;4;3;739;9;A;OUI;6651
3;4;4;641;9;A;OUI;5769
3;4;5;502;9;A;OUI;4518
3;4;6;351;9;A;OUI;3159
3;4;7;296;10;A;OUI;2960
3;5;1;396;8;X;NON;3168
3;5;2;389;8;X;OUI;3112
3;5;3;710;9;X;OUI;6390
3;5;4;595;9;X;OUI;5355
3;5;5;605;9;A;OUI;5445
3;5;6;454;9;A;OUI;4086
3;5;7;398;10;A;OUI;3980
3;5;8;334;10;A;OUI;3340
3;6;1;20;8;X;NON;160
3;6;2;396;8;X;OUI;3168
3;6;3;590;9;X;OUI;5310
3;6;4;595;9;A;OUI;5355
3;6;5;595;9;A;OUI;5355
3;6;6;398;9;A;OUI;3582
3;6;7;388;9;A;OUI;3492
15;1;1;178;9;X;OUI;1602
15;1;2;560;9;A;OUI;5040
15;1;3;700;9;X;OUI;6300
15;1;4;749;9;X;OUI;6741
15;1;5;612;9;X;OUI;5508
15;1;6;439;9;X;OUI;3951
15;1;7;271;10;X;OUI;2710
15;2;1;358;8;X;OUI;2864
15;2;2;519;8;X;OUI;4152
15;2;3;610;8;X;OUI;4880
15;2;4;422;8;X;OUI;3376
15;2;5;250;9;X;OUI;2250
15;3;1;155;10;X;OUI;1550
15;3;2;225;9;X;OUI;2025
15;3;3;303;9;X;OUI;2727
15;3;4;341;9;X;OUI;3069
15;3;5;433;9;A;OUI;3897
15;3;6;479;9;X;OUI;4311
15;3;7;397;9;X;OUI;3573
15;3;8;468;9;X;OUI;4212
15;4;1;122;9;X;OUI;1098
15;4;2;305;9;X;OUI;2745
15;4;3;450;9;X;OUI;4050
15;4;4;540;9;X;OUI;4860
15;4;5;637;9;X;OUI;5733
15;4;6;457;10;X;OUI;4570
15;4;7;355;9;X;OUI;3195
15;4;8;254;9;X;OUI;2286
15;5;1;371;9;X;OUI;3339
15;5;2;551;9;X;OUI;4959
15;5;3;684;10;X;OUI;6840
15;5;4;794;10;X;OUI;7940
15;5;5;644;10;X;OUI;6440
15;5;6;474;10;X;OUI;4740
15;5;7;340;10;A;OUI;3400
15;5;8;201;10;X;OUI;2010
15;6;1;418;9;X;OUI;3762
15;6;2;610;9;X;OUI;5490
15;6;3;816;9;X;OUI;7344
15;6;4;942;9;X;OUI;8478
15;6;5;793;9;X;OUI;7137
15;6;6;573;9;X;OUI;5157
15;6;7;355;9;X;OUI;3195
15;7;1;229;9;X;OUI;2061
15;7;2;275;9;X;OUI;2475
15;7;3;400;9;X;OUI;3600
15;7;4;473;9;X;OUI;4257
15;7;5;464;9;X;OUI;4176
15;7;6;347;10;X;OUI;3470
15;8;1;344;9;X;OUI;3096
15;8;2;749;9;X;OUI;6741
15;8;3;853;9;A;OUI;7677
15;8;4;694;9;X;OUI;6246
15;8;5;600;9;X;OUI;5400
15;8;6;355;9;X;OUI;3195
15;8;7;478;9;X;OUI;4302
15;9;1;296;9;X;OUI;2664
15;9;2;555;9;X;OUI;4995
15;9;3;697;9;A;OUI;6273
15;9;4;786;9;A;OUI;7074
15;9;5;525;9;X;OUI;4725
15;9;6;339;9;X;OUI;3051
15;10;1;225;9;X;OUI;2025
15;10;2;435;9;X;OUI;3915
15;10;3;793;9;A;OUI;7137
15;10;4;692;9;X;OUI;6228
15;10;5;584;9;A;OUI;5256
15;10;6;374;9;A;OUI;3366
15;10;7;175;9;X;OUI;1575
30;1;1;111;9;X;OUI;999
30;1;2;241;9;X;OUI;2169
30;1;3;336;9;X;OUI;3024
30;1;4;356;9;X;OUI;3204
30;1;5;220;9;A;OUI;1980
30;1;6;120;9;X;OUI;1080
30;1;7;92;9;X;OUI;828
30;2;1;181;9;X;OUI;1629
30;2;2;307;9;X;OUI;2763
30;2;3;374;10;X;OUI;3740
30;2;4;365;10;X;OUI;3650
30;2;5;243;9;X;OUI;2187
30;2;6;132;9;X;OUI;1188
30;2;7;114;9;A;OUI;1026
30;3;1;65;8;X;NON;520
30;3;2;148;8;X;OUI;1184
30;3;3;180;7;X;OUI;1260
30;3;4;222;8;X;OUI;1776
30;3;5;73;7;X;OUI;511
30;4;1;122;8;X;OUI;976
30;4;2;221;8;X;OUI;1768
30;4;3;289;8;X;OUI;2312
30;4;4;225;8;X;OUI;1800
30;4;5;102;8;X;OUI;816
30;5;1;109;9;X;OUI;981
30;5;2;245;9;X;OUI;2205
30;5;3;333;8;X;OUI;2664
30;5;4;249;9;X;OUI;2241
30;5;5;371;9;X;OUI;3339
30;5;6;122;9;X;OUI;1098
30;6;1;141;9;X;OUI;1269
30;6;2;275;9;X;OUI;2475
30;6;3;370;9;X;OUI;3330
30;6;4;399;9;X;OUI;3591
30;6;5;250;9;X;OUI;2250
30;6;6;127;9;X;OUI;1143
30;6;7;95;9;X;OUI;855
